Comment,Designator,Footprint,LCSC
"3V","BT1","Battery_JLCPCB:BAT-SMD_CR1616","C964732"
"0.1uF","C1,C2,C3,C4,C5,C7","Capacitor_SMD:C_0805_2012Metric","C49678"
"GB_Cart_EdgeConn-1Row-32Pins","J1","NintendoGBCart_ExtFootprint:GB_Cart_1x32_P1.50mm_Edge_For_CartShell",""
"JTAG-A","J3","Connector_PinHeader_Boxed_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"Conn_02x16_Odd_Even","J4","Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical",""
"10K","R1,R11,R12","Resistor_SMD:R_0805_2012Metric","C17414"
"1K","R13","Resistor_SMD:R_0805_2012Metric","C17513"
"SW_SPDT","SW1","Button_Switch_THT_JLCPCB:SW-TH_SK12D07VG3","C431547"
"AT29C010A-PLCC32","U1","Package_LCC_JLCPCB:PLCC-32_THT-Socket","C72257"
"28SF040-120-4C-NH-PLCC32","U2","Package_LCC_JLCPCB:PLCC-32_THT-Socket","C72257"
"Generic-ATF15xx-PLCC44","U3","Package_LCC_JLCPCB:PLCC-44_THT-Socket","C2828044"
"TC551001BPL_DIP32","U4","Package_DIP:DIP-32_W15.24mm_Socket",""
"BA6162F","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C2927697"
"74HC373","U7","Package_DIP:DIP-20_W7.62mm_Socket","C546888"
