Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",94.615000,-120.650000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",94.615000,-92.710000,180.000000,top
"C3","0.1uF","C_0805_2012Metric",77.470000,-120.650000,0.000000,top
"R1","10K","R_0805_2012Metric",70.485000,-76.200000,270.000000,top
"R2","10K","R_0805_2012Metric",70.485000,-85.090000,270.000000,top
"R11","10K","R_0805_2012Metric",74.930000,-132.080000,0.000000,top
"R12","10K","R_0805_2012Metric",74.930000,-127.000000,0.000000,top
"R13","1K","R_0805_2012Metric",74.930000,-137.160000,0.000000,top
"U1","AT29C010A-PLCC32","PLCC-32_L14.0-W11.5-P1.27-T",103.505000,-108.585000,90.000000,top
"U2","28SF040-120-4C-NH-PLCC32","PLCC-32_L14.0-W11.5-P1.27-T",103.505000,-80.645000,90.000000,top
"U3","Generic-ATF15xx-PLCC44","LCC-44_L23.2-W23.2-P1.27-T",77.470000,-105.410000,90.000000,top
